	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
ENSMUSG00000077231	0	0	0	0	0	0
ENSMUSG00000104417	0	0	0	0	2	2
ENSMUSG00000064601	0	0	0	0	0	0
ENSMUSG00000101714	0	0	0	0	0	0
ENSMUSG00000102531	0	0	0	0	0	1
ENSMUSG00000103096	0	0	0	0	0	0
ENSMUSG00000102279	5	0	6	2	0	0
ENSMUSG00000103708	1	0	0	1	0	0
ENSMUSG00000104201	0	0	0	0	0	0
ENSMUSG00000102434	0	0	3	1	1	1
ENSMUSG00000045216	590	299	996	598	371	688
ENSMUSG00000104523	0	0	0	0	0	0
ENSMUSG00000102202	31	6	28	31	32	6
ENSMUSG00000037470	5452	4426	6144	5639	6025	4267
ENSMUSG00000098752	0	0	0	0	0	0
ENSMUSG00000047180	770	748	759	782	919	278
ENSMUSG00000037447	963	344	1195	615	1354	638
ENSMUSG00000102762	0	0	1	0	0	0
ENSMUSG00000010453	2272	1784	2229	2146	2434	1819
ENSMUSG00000098680	0	0	0	0	0	0
ENSMUSG00000037432	74	31	44	45	85	47
ENSMUSG00000001143	763	443	473	711	530	654
ENSMUSG00000037408	258	961	456	291	466	427
ENSMUSG00000104316	0	0	0	0	0	0
ENSMUSG00000001138	530	561	504	489	448	469
ENSMUSG00000102845	0	0	0	0	0	0
ENSMUSG00000067653	0	0	0	0	0	0
ENSMUSG00000103661	4	2	9	5	2	5
ENSMUSG00000079610	122	119	108	99	123	98
ENSMUSG00000026121	499	817	1004	693	1198	1087
ENSMUSG00000087589	49	41	50	35	68	64
ENSMUSG00000046337	75	102	59	83	127	159
ENSMUSG00000089906	0	0	0	0	0	0
ENSMUSG00000077939	0	0	0	0	0	0
ENSMUSG00000061518	3551	4189	2830	3361	4851	3454
ENSMUSG00000037351	4540	3256	4110	3502	5754	3412
ENSMUSG00000102416	11	9	14	8	4	5
ENSMUSG00000104237	0	0	0	0	0	0
ENSMUSG00000026117	75	37	19	26	58	17
ENSMUSG00000097291	0	0	0	0	0	0
ENSMUSG00000026116	2011	1864	2741	2328	1382	1282
ENSMUSG00000103016	0	0	0	0	0	0
ENSMUSG00000102930	0	0	0	0	0	0
ENSMUSG00000103159	0	0	0	0	0	0
ENSMUSG00000080054	26	25	23	26	18	24
ENSMUSG00000095944	0	0	0	0	0	0
ENSMUSG00000050122	10	226	0	1	3	10
ENSMUSG00000103603	0	0	0	0	0	0
ENSMUSG00000026114	9	60	5	6	5	0
ENSMUSG00000102231	0	0	0	0	0	0
ENSMUSG00000026113	431	469	642	552	446	489
ENSMUSG00000086064	0	0	0	0	0	0
ENSMUSG00000102879	0	0	0	0	0	0
ENSMUSG00000026112	2419	845	1990	2380	1561	1815
ENSMUSG00000026111	1326	1457	1021	1142	1363	1310
ENSMUSG00000026110	794	632	1090	845	659	796
ENSMUSG00000103948	0	0	0	0	0	0
ENSMUSG00000087233	0	0	0	0	0	0
ENSMUSG00000026090	17	191	25	18	25	523
ENSMUSG00000089767	0	0	0	0	0	0
ENSMUSG00000104365	0	0	0	0	0	0
ENSMUSG00000102650	0	0	0	0	0	0
ENSMUSG00000060771	197	66	154	197	162	114
ENSMUSG00000097268	0	0	2	1	0	0
ENSMUSG00000037216	18	5	7	12	4	8
ENSMUSG00000026088	1353	431	517	914	648	675
ENSMUSG00000026087	3074	2328	1943	2312	2310	1832
ENSMUSG00000061584	0	0	0	0	0	0
ENSMUSG00000087374	0	3	1	0	3	0
ENSMUSG00000026085	0	0	0	0	0	0
ENSMUSG00000089141	0	0	0	0	0	0
