	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000182749	716	599	296	312	495	550	525	558
ENSG00000117632	989	1121	374	420	2015	2314	1913	2303
ENSG00000158006	120	99	145	177	538	586	406	640
ENSG00000158008	0	0	1	3	0	1	1	0
ENSG00000158014	0	0	0	0	0	0	0	0
ENSG00000158022	0	0	4	0	4	5	3	9
ENSG00000175087	102	110	156	182	595	615	498	647
ENSG00000197245	13	19	11	8	0	0	0	0
ENSG00000282872	0	0	0	0	0	0	0	0
ENSG00000236782	0	0	0	0	0	4	0	1
ENSG00000142684	0	0	0	0	0	0	0	0
ENSG00000142675	0	1	2	0	1	3	4	1
ENSG00000188782	2	0	0	0	0	0	0	0
ENSG00000130695	236	234	313	330	539	630	484	621
ENSG00000142669	1932	1881	2842	3172	12591	14458	13294	15750
ENSG00000158062	24	14	25	27	323	376	315	399
ENSG00000169442	549	579	1395	1621	17499	20611	16533	19574
ENSG00000176092	0	1	7	5	10	8	12	18
ENSG00000176083	6	2	0	0	0	0	0	0
ENSG00000131914	0	0	1	0	0	1	0	3
ENSG00000117682	209	191	393	398	884	948	812	1045
ENSG00000198830	2567	2876	2474	3114	10663	9640	7652	11721
ENSG00000117676	2195	1992	3555	3765	5684	6193	5335	6619
ENSG00000117713	2584	1695	1942	2088	4051	4724	4237	5758
ENSG00000060642	114	120	202	250	656	666	562	696
ENSG00000204160	2545	2431	1906	2064	1401	1386	1219	1640
ENSG00000175793	1	1	1	1	0	0	1	2
ENSG00000142751	282	303	253	342	665	692	615	725
ENSG00000198746	160	165	166	184	662	857	664	820
ENSG00000090273	897	1007	907	1173	2528	2864	2549	3435
ENSG00000131910	0	0	0	0	0	0	0	0
ENSG00000175707	10	15	11	12	55	56	52	71
ENSG00000253368	0	0	0	0	0	0	0	0
ENSG00000158246	5	8	10	13	0	0	0	0
ENSG00000090020	480	410	687	712	622	723	629	785
ENSG00000142784	2498	1983	1957	2075	3333	3808	3255	4216
ENSG00000186501	244	238	309	390	1272	1476	1098	1558
ENSG00000142765	147	139	381	428	1843	2133	1923	2376
ENSG00000142733	188	180	46	63	10	17	8	16
ENSG00000142748	0	0	0	0	0	0	0	0
ENSG00000174950	0	0	0	0	0	0	0	0
ENSG00000181773	0	2	0	0	0	0	0	0
ENSG00000158195	6507	5343	6156	7234	14306	15940	13508	17506
ENSG00000126705	434	293	308	347	622	781	682	921
ENSG00000000938	486	434	405	514	4469	5588	4634	5402
ENSG00000126709	99	114	621	746	2222	1944	1533	2611
ENSG00000009780	84	56	106	135	545	569	520	621
ENSG00000117758	493	455	510	791	1194	1162	1016	1220
ENSG00000117751	545	610	631	896	3090	3312	2701	3578
ENSG00000130775	1365	1302	265	290	976	1303	1149	1122
ENSG00000117748	778	883	789	1166	4738	5212	4422	5540
ENSG00000130768	0	0	2	2	6	1	1	1
ENSG00000158156	108	99	77	80	399	420	457	490
ENSG00000158161	471	487	428	553	998	1068	936	1326
ENSG00000169403	196	172	10	13	110	174	147	167
ENSG00000126698	963	1197	1265	1557	5694	6048	4936	6558
ENSG00000130770	427	505	473	744	2755	2781	2230	3256
ENSG00000130766	145	174	926	1023	902	860	686	1285
ENSG00000130772	98	136	73	124	277	313	238	375
ENSG00000204138	234	182	136	178	423	570	450	694
ENSG00000180198	404	449	541	680	1721	1660	1526	2034
ENSG00000279443	0	0	0	0	3	0	0	3
ENSG00000180098	320	335	334	410	506	534	409	569
ENSG00000120656	129	180	213	233	919	1190	933	1199
ENSG00000188060	0	0	0	0	0	0	0	0
ENSG00000162419	286	275	262	343	870	1003	849	1200
ENSG00000198492	1348	1292	1738	1914	3263	3534	3069	3969
ENSG00000116329	7	12	1	3	47	63	54	63
ENSG00000159023	1823	1465	1829	2389	11553	14979	12186	14716
ENSG00000253304	0	0	0	0	0	0	0	0
ENSG00000116350	1383	1392	1014	1231	2487	2814	2384	3119
ENSG00000116353	38	33	92	108	358	327	301	445
ENSG00000060656	4	4	0	3	0	1	5	0
ENSG00000289710	0	0	0	0	0	0	0	0
ENSG00000162510	44	33	17	18	58	62	46	63
ENSG00000162511	19192	18115	14027	17257	48769	53010	45285	57840
ENSG00000162512	310	269	150	170	397	434	341	540
ENSG00000134644	1492	1021	1890	2091	3521	3939	3434	4165
ENSG00000084628	0	0	0	0	0	0	0	0
ENSG00000060688	321	357	602	706	2350	2508	2162	2749
ENSG00000121766	325	335	357	427	1601	1625	1418	1777
ENSG00000121769	34	33	9	12	95	93	64	97
ENSG00000168528	94	74	1	0	7	3	2	6
ENSG00000142910	157	114	90	104	0	0	0	0
ENSG00000121764	18	14	9	12	1	2	0	2
ENSG00000162517	443	409	672	727	1053	1022	846	1224
ENSG00000084636	4	3	2	1	0	0	0	0
ENSG00000121753	19	9	28	25	0	0	0	0
ENSG00000134668	0	1	1	0	0	0	0	0
ENSG00000184007	4770	4916	3813	4832	9035	10089	8282	9963
ENSG00000288678	0	0	0	0	0	0	0	0
ENSG00000121774	2144	2207	2814	3607	7739	8323	6967	9279
ENSG00000121775	226	208	238	209	695	725	628	808
ENSG00000025800	1207	994	1411	1743	2140	2224	2045	2658
ENSG00000084652	554	499	691	880	1844	2012	1815	2719
ENSG00000160050	283	294	335	477	242	231	247	264
ENSG00000160051	15	14	15	12	25	37	23	30
ENSG00000222046	0	0	1	0	0	0	0	0
ENSG00000160055	11	24	28	32	35	59	55	93
ENSG00000084623	3182	3327	3148	3594	7188	7630	6510	8476
ENSG00000183615	0	0	0	1	10	6	12	9
ENSG00000182866	193	248	190	221	3967	4485	3740	4818
ENSG00000116478	1170	1216	1592	1979	7626	8784	7354	8815
ENSG00000175130	984	1042	1674	1925	2760	2694	2478	3478
ENSG00000162526	1	0	0	5	1	4	8	1
ENSG00000225828	0	0	0	0	0	0	0	0
ENSG00000160058	533	502	460	495	1555	1712	1383	1912
ENSG00000254553	1	0	0	3	1	2	0	0
ENSG00000273274	0	0	0	0	0	0	0	0
ENSG00000160062	0	0	0	0	0	0	0	0
ENSG00000176261	271	242	314	420	678	781	627	780
ENSG00000162521	1693	1860	2362	2710	4637	5128	4194	4972
ENSG00000162520	1	0	1	0	0	0	1	2
ENSG00000162522	13	16	6	3	7	4	6	7
ENSG00000134684	732	816	1747	1979	4750	4552	4057	5516
ENSG00000116497	259	242	327	408	1179	1340	1086	1325
ENSG00000160097	0	1	0	0	1	0	0	2
ENSG00000121905	5	5	7	5	1	0	0	0
ENSG00000121900	14	12	10	13	0	0	0	0
ENSG00000116514	2786	2948	2062	2241	983	1155	1053	1224
ENSG00000278966	0	0	0	0	0	2	0	0
ENSG00000004455	1729	1843	1863	2566	4795	4805	4159	5674
ENSG00000142920	59	56	40	38	2	2	5	2
ENSG00000278997	3	2	9	6	23	19	11	26
ENSG00000116525	120	86	119	124	432	468	400	476
ENSG00000279179	0	0	0	0	0	0	0	0
ENSG00000160094	88	99	146	138	401	450	391	523
ENSG00000184389	0	1	0	0	1	2	1	0
ENSG00000134686	776	791	868	888	1579	1690	1396	1864
ENSG00000121903	53	37	91	127	178	193	163	231
ENSG00000121904	5	11	5	2	13	12	5	12
ENSG00000176256	0	0	0	0	0	0	0	0
ENSG00000142698	0	0	0	0	0	0	0	0
ENSG00000163866	276	282	372	442	1373	1479	1261	1569
ENSG00000189280	0	0	0	0	0	0	0	0
ENSG00000189433	0	0	0	0	0	0	0	0
ENSG00000188910	0	0	0	0	0	0	0	0
ENSG00000187513	0	0	0	0	0	0	0	0
ENSG00000116544	220	169	266	270	161	129	129	164
ENSG00000284773	30	14	22	38	57	60	64	78
ENSG00000243749	0	0	0	0	0	0	0	0
ENSG00000271741	0	0	0	0	0	4	2	2
ENSG00000163867	0	1	1	6	5	8	7	9
ENSG00000197056	11	11	32	31	250	256	171	257
ENSG00000116560	1071	987	1804	2068	7211	7543	6030	8886
ENSG00000146463	1576	1880	1377	1783	1208	1278	1041	1503
ENSG00000142687	592	455	445	542	987	1076	1004	1259
ENSG00000020129	200	185	257	288	580	577	485	856
ENSG00000116819	59	53	48	57	180	278	189	267
ENSG00000126067	1049	1087	1593	1784	2740	2756	2236	3397
ENSG00000142686	36	36	116	137	781	746	644	934
ENSG00000092853	40	52	28	37	6	13	14	28
ENSG00000134698	273	219	186	243	915	1072	849	1139
ENSG00000092847	1288	944	1165	1278	2017	2219	1800	2458
ENSG00000126070	174	203	197	276	462	473	417	530
ENSG00000092850	2	6	1	0	0	0	0	0
ENSG00000116863	376	402	256	287	1094	1191	1061	1343
ENSG00000171812	9	11	70	68	289	247	171	358
ENSG00000054116	481	530	530	766	2123	2168	1907	2283
ENSG00000116871	1106	1140	598	708	1064	1415	1179	1661
ENSG00000054118	1645	1459	1316	1681	4194	5469	4249	6379
ENSG00000214193	140	155	71	117	262	297	259	320
ENSG00000142694	0	0	0	0	0	0	0	0
ENSG00000196182	626	531	901	1166	3614	4147	3403	4579
ENSG00000181817	395	404	590	643	3317	3587	3105	3970
ENSG00000116885	1	2	0	1	0	0	6	2
ENSG00000116898	462	553	467	556	1086	1188	923	1255
ENSG00000119535	29	25	1	0	1	1	1	5
ENSG00000163873	53	33	13	10	125	126	108	161
ENSG00000163874	531	533	176	216	992	1092	879	1420
ENSG00000163875	481	502	527	718	2907	3457	2693	3188
ENSG00000163877	247	222	225	327	1437	1636	1361	1675
